Name,Team,Number,Position,Age,Height,Weight,College,Salary,random_date
John Henson,Milwaukee Bucks,31.0,PF,25.0,6-11,229.0,North Carolina,2943221.0,2018-10-23 02:37:32.954048128
Damien Inglis,Milwaukee Bucks,17.0,SF,21.0,6-8,246.0,,855000.0,2018-10-31 02:24:56.717724288
O.J. Mayo,Milwaukee Bucks,3.0,SG,28.0,6-5,210.0,USC,8000000.0,2018-11-08 02:12:20.481400416
Khris Middleton,Milwaukee Bucks,22.0,SG,24.0,6-8,234.0,Texas A&M,14700000.0,2018-11-16 01:59:44.245076576
Greg Monroe,Milwaukee Bucks,15.0,C,26.0,6-11,265.0,Georgetown,16407500.0,2018-11-24 01:47:08.008752736
Steve Novak,Milwaukee Bucks,6.0,SF,32.0,6-10,225.0,Marquette,295327.0,2018-12-02 01:34:31.772428864
Johnny O'Bryant III,Milwaukee Bucks,77.0,PF,23.0,6-9,257.0,LSU,845059.0,2018-12-10 01:21:55.536105024
Jabari Parker,Milwaukee Bucks,12.0,PF,21.0,6-8,250.0,Duke,5152440.0,2018-12-18 01:09:19.299781184
Miles Plumlee,Milwaukee Bucks,18.0,C,27.0,6-11,249.0,Duke,2109294.0,2018-12-26 00:56:43.063457312
Greivis Vasquez,Milwaukee Bucks,21.0,PG,29.0,6-6,217.0,Maryland,6600000.0,2019-01-03 00:44:06.827133472
Rashad Vaughn,Milwaukee Bucks,20.0,SG,19.0,6-6,202.0,UNLV,1733040.0,2019-01-11 00:31:30.590809632
Justin Anderson,Dallas Mavericks,1.0,SG,22.0,6-6,228.0,Virginia,1449000.0,2019-01-19 00:18:54.354485760
J.J. Barea,Dallas Mavericks,5.0,PG,31.0,6-0,185.0,Northeastern,4290000.0,2019-01-27 00:06:18.118161920
Jeremy Evans,Dallas Mavericks,21.0,SF,28.0,6-9,200.0,Western Kentucky,1100602.0,2019-02-03 23:53:41.881838048
Raymond Felton,Dallas Mavericks,2.0,PG,31.0,6-1,205.0,North Carolina,3950313.0,2019-02-11 23:41:05.645514208
Devin Harris,Dallas Mavericks,34.0,PG,33.0,6-3,185.0,Wisconsin,4053446.0,2019-02-19 23:28:29.409190368
David Lee,Dallas Mavericks,42.0,PF,33.0,6-9,245.0,Florida,2085671.0,2019-02-27 23:15:53.172866496
Wesley Matthews,Dallas Mavericks,23.0,SG,29.0,6-5,220.0,Marquette,16407500.0,2019-03-07 23:03:16.936542656
JaVale McGee,Dallas Mavericks,11.0,C,28.0,7-0,270.0,Nevada,1270964.0,2019-03-15 22:50:40.700218816
Salah Mejri,Dallas Mavericks,50.0,C,29.0,7-2,245.0,,525093.0,2019-03-23 22:38:04.463894944
Dirk Nowitzki,Dallas Mavericks,41.0,PF,37.0,7-0,245.0,,8333334.0,2019-03-31 22:25:28.227571104
Zaza Pachulia,Dallas Mavericks,27.0,C,32.0,6-11,275.0,,5200000.0,2019-04-08 22:12:51.991247264
Chandler Parsons,Dallas Mavericks,25.0,SF,27.0,6-10,230.0,Florida,15361500.0,2019-04-16 22:00:15.754923392
Dwight Powell,Dallas Mavericks,7.0,PF,24.0,6-11,240.0,Stanford,845059.0,2019-04-24 21:47:39.518599552
Charlie Villanueva,Dallas Mavericks,3.0,PF,31.0,6-11,232.0,Connecticut,947276.0,2019-05-02 21:35:03.282275712
Deron Williams,Dallas Mavericks,8.0,PG,31.0,6-3,200.0,Illinois,5378974.0,2019-05-10 21:22:27.045951840
Trevor Ariza,Houston Rockets,1.0,SF,30.0,6-8,215.0,UCLA,8193030.0,2019-05-18 21:09:50.809628000
Michael Beasley,Houston Rockets,8.0,SF,27.0,6-10,235.0,Kansas State,306527.0,2019-05-26 20:57:14.573304160
Patrick Beverley,Houston Rockets,2.0,PG,27.0,6-1,185.0,Arkansas,6486486.0,2019-06-03 20:44:38.336980288
Corey Brewer,Houston Rockets,33.0,SG,30.0,6-9,186.0,Florida,8229375.0,2019-06-11 20:32:02.100656448
Clint Capela,Houston Rockets,15.0,PF,22.0,6-10,240.0,,1242720.0,2019-06-19 20:19:25.864332608
Sam Dekker,Houston Rockets,7.0,SF,22.0,6-9,230.0,Wisconsin,1646400.0,2019-06-27 20:06:49.628008736
Andrew Goudelock,Houston Rockets,0.0,PG,27.0,6-3,200.0,Charleston,200600.0,2019-07-05 19:54:13.391684896
James Harden,Houston Rockets,13.0,SG,26.0,6-5,220.0,Arizona State,15756438.0,2019-07-13 19:41:37.155361024
Montrezl Harrell,Houston Rockets,35.0,PF,22.0,6-8,240.0,Louisville,1000000.0,2019-07-21 19:29:00.919037184
Dwight Howard,Houston Rockets,12.0,C,30.0,6-11,265.0,,22359364.0,2019-07-29 19:16:24.682713344
Terrence Jones,Houston Rockets,6.0,PF,24.0,6-9,252.0,Kentucky,2489530.0,2019-08-06 19:03:48.446389472
K.J. McDaniels,Houston Rockets,32.0,SG,23.0,6-6,205.0,Clemson,3189794.0,2019-08-14 18:51:12.210065632
Donatas Motiejunas,Houston Rockets,20.0,PF,25.0,7-0,222.0,,2288205.0,2019-08-22 18:38:35.973741792
Josh Smith,Houston Rockets,5.0,C,30.0,6-9,225.0,,947276.0,2019-08-30 18:25:59.737417920
Jason Terry,Houston Rockets,31.0,SG,38.0,6-2,185.0,Arizona,947276.0,2019-09-07 18:13:23.501094080
Jordan Adams,Memphis Grizzlies,3.0,SG,21.0,6-5,209.0,UCLA,1404600.0,2019-09-15 18:00:47.264770240
Tony Allen,Memphis Grizzlies,9.0,SG,34.0,6-4,213.0,Oklahoma State,5158539.0,2019-09-23 17:48:11.028446368
Chris Andersen,Memphis Grizzlies,7.0,PF,37.0,6-10,245.0,Blinn College,5000000.0,2019-10-01 17:35:34.792122528
Matt Barnes,Memphis Grizzlies,22.0,SF,36.0,6-7,226.0,UCLA,3542500.0,2019-10-09 17:22:58.555798688
Vince Carter,Memphis Grizzlies,15.0,SG,39.0,6-6,220.0,North Carolina,4088019.0,2019-10-17 17:10:22.319474816
Mike Conley,Memphis Grizzlies,11.0,PG,28.0,6-1,175.0,Ohio State,9588426.0,2019-10-25 16:57:46.083150976
Bryce Cotton,Memphis Grizzlies,8.0,PG,23.0,6-1,165.0,Providence,700902.0,2019-11-02 16:45:09.846827136
Jordan Farmar,Memphis Grizzlies,4.0,PG,29.0,6-2,180.0,UCLA,,2019-11-10 16:32:33.610503264
Marc Gasol,Memphis Grizzlies,33.0,C,31.0,7-1,255.0,,19688000.0,2019-11-18 16:19:57.374179424
JaMychal Green,Memphis Grizzlies,0.0,PF,25.0,6-9,227.0,Alabama,845059.0,2019-11-26 16:07:21.137855552
P.J. Hairston,Memphis Grizzlies,19.0,SF,23.0,6-6,230.0,North Carolina,1201440.0,2019-12-04 15:54:44.901531712
Jarell Martin,Memphis Grizzlies,10.0,PF,22.0,6-10,239.0,LSU,1230840.0,2019-12-12 15:42:08.665207872
Ray McCallum,Memphis Grizzlies,5.0,PG,24.0,6-3,190.0,Detroit,,2019-12-20 15:29:32.428884000
Xavier Munford,Memphis Grizzlies,14.0,PG,24.0,6-3,180.0,Rhode Island,,2019-12-28 15:16:56.192560160
Zach Randolph,Memphis Grizzlies,50.0,PF,34.0,6-9,260.0,Michigan State,9638555.0,2020-01-05 15:04:19.956236320
Lance Stephenson,Memphis Grizzlies,1.0,SF,25.0,6-5,230.0,Cincinnati,9000000.0,2020-01-13 14:51:43.719912448
Alex Stepheson,Memphis Grizzlies,35.0,PF,28.0,6-10,270.0,USC,,2020-01-21 14:39:07.483588608
Brandan Wright,Memphis Grizzlies,34.0,PF,28.0,6-10,210.0,North Carolina,5464000.0,2020-01-29 14:26:31.247264768
Alexis Ajinca,New Orleans Pelicans,42.0,C,28.0,7-2,248.0,,4389607.0,2020-02-06 14:13:55.010940896
Ryan Anderson,New Orleans Pelicans,33.0,PF,28.0,6-10,240.0,California,8500000.0,2020-02-14 14:01:18.774617056
Omer Asik,New Orleans Pelicans,3.0,C,29.0,7-0,255.0,,9213483.0,2020-02-22 13:48:42.538293216
Luke Babbitt,New Orleans Pelicans,8.0,SF,26.0,6-9,225.0,Nevada,1100602.0,2020-03-01 13:36:06.301969344
Norris Cole,New Orleans Pelicans,30.0,PG,27.0,6-2,175.0,Cleveland State,3036927.0,2020-03-09 13:23:30.065645504
Dante Cunningham,New Orleans Pelicans,44.0,PF,29.0,6-8,230.0,Villanova,2850000.0,2020-03-17 13:10:53.829321664
Anthony Davis,New Orleans Pelicans,23.0,PF,23.0,6-10,253.0,Kentucky,7070730.0,2020-03-25 12:58:17.592997792
Bryce Dejean-Jones,New Orleans Pelicans,31.0,SG,23.0,6-6,203.0,Iowa State,169883.0,2020-04-02 12:45:41.356673952
Toney Douglas,New Orleans Pelicans,16.0,PG,30.0,6-2,195.0,Florida State,1164858.0,2020-04-10 12:33:05.120350112
James Ennis,New Orleans Pelicans,4.0,SF,25.0,6-7,210.0,Long Beach State,845059.0,2020-04-18 12:20:28.884026240
Tyreke Evans,New Orleans Pelicans,1.0,SG,26.0,6-6,220.0,Memphis,10734586.0,2020-04-26 12:07:52.647702400
Tim Frazier,New Orleans Pelicans,2.0,PG,25.0,6-1,170.0,Penn State,845059.0,2020-05-04 11:55:16.411378528
Alonzo Gee,New Orleans Pelicans,15.0,SF,29.0,6-6,225.0,Alabama,1320000.0,2020-05-12 11:42:40.175054688
Eric Gordon,New Orleans Pelicans,10.0,SG,27.0,6-4,215.0,Indiana,15514031.0,2020-05-20 11:30:03.938730848
Jordan Hamilton,New Orleans Pelicans,25.0,SG,25.0,6-7,220.0,Texas,1015421.0,2020-05-28 11:17:27.702406976
Jrue Holiday,New Orleans Pelicans,11.0,PG,25.0,6-4,205.0,UCLA,10595507.0,2020-06-05 11:04:51.466083136
Orlando Johnson,New Orleans Pelicans,0.0,SG,27.0,6-5,220.0,UC Santa Barbara,55722.0,2020-06-13 10:52:15.229759296
Kendrick Perkins,New Orleans Pelicans,5.0,C,31.0,6-10,270.0,,947276.0,2020-06-21 10:39:38.993435424
Quincy Pondexter,New Orleans Pelicans,20.0,SF,28.0,6-7,220.0,Washington,3382023.0,2020-06-29 10:27:02.757111584
LaMarcus Aldridge,San Antonio Spurs,12.0,PF,30.0,6-11,240.0,Texas,19689000.0,2020-07-07 10:14:26.520787744
Kyle Anderson,San Antonio Spurs,1.0,SF,22.0,6-9,230.0,UCLA,1142880.0,2020-07-15 10:01:50.284463872
Matt Bonner,San Antonio Spurs,15.0,C,36.0,6-10,235.0,Florida,947276.0,2020-07-23 09:49:14.048140032
Boris Diaw,San Antonio Spurs,33.0,C,34.0,6-8,250.0,,7500000.0,2020-07-31 09:36:37.811816192
Tim Duncan,San Antonio Spurs,21.0,C,40.0,6-11,250.0,Wake Forest,5250000.0,2020-08-08 09:24:01.575492320
Manu Ginobili,San Antonio Spurs,20.0,SG,38.0,6-6,205.0,,2814000.0,2020-08-16 09:11:25.339168480
Danny Green,San Antonio Spurs,14.0,SG,28.0,6-6,215.0,North Carolina,10000000.0,2020-08-24 08:58:49.102844640
Kawhi Leonard,San Antonio Spurs,2.0,SF,24.0,6-7,230.0,San Diego State,16407500.0,2020-09-01 08:46:12.866520768
Boban Marjanovic,San Antonio Spurs,40.0,C,27.0,7-3,290.0,,1200000.0,2020-09-09 08:33:36.630196928
Kevin Martin,San Antonio Spurs,23.0,SG,33.0,6-7,199.0,Western Carolina,200600.0,2020-09-17 08:21:00.393873056
Andre Miller,San Antonio Spurs,24.0,PG,40.0,6-3,200.0,Utah,250750.0,2020-09-25 08:08:24.157549216
Patty Mills,San Antonio Spurs,8.0,PG,27.0,6-0,185.0,Saint Mary's,3578947.0,2020-10-03 07:55:47.921225376
Tony Parker,San Antonio Spurs,9.0,PG,34.0,6-2,185.0,,13437500.0,2020-10-11 07:43:11.684901504
Jonathon Simmons,San Antonio Spurs,17.0,SG,26.0,6-6,195.0,Houston,525093.0,2020-10-19 07:30:35.448577664
David West,San Antonio Spurs,30.0,PF,35.0,6-9,250.0,Xavier,1499187.0,2020-10-27 07:17:59.212253824
Kent Bazemore,Atlanta Hawks,24.0,SF,26.0,6-5,201.0,Old Dominion,2000000.0,2020-11-04 07:05:22.975929952
Tim Hardaway Jr.,Atlanta Hawks,10.0,SG,24.0,6-6,205.0,Michigan,1304520.0,2020-11-12 06:52:46.739606112
Kirk Hinrich,Atlanta Hawks,12.0,SG,35.0,6-4,190.0,Kansas,2854940.0,2020-11-20 06:40:10.503282272
Al Horford,Atlanta Hawks,15.0,C,30.0,6-10,245.0,Florida,12000000.0,2020-11-28 06:27:34.266958400
Kris Humphries,Atlanta Hawks,43.0,PF,31.0,6-9,235.0,Minnesota,1000000.0,2020-12-06 06:14:58.030634560
Kyle Korver,Atlanta Hawks,26.0,SG,35.0,6-7,212.0,Creighton,5746479.0,2020-12-14 06:02:21.794310720
Paul Millsap,Atlanta Hawks,4.0,PF,31.0,6-8,246.0,Louisiana Tech,18671659.0,2020-12-22 05:49:45.557986848
Mike Muscala,Atlanta Hawks,31.0,PF,24.0,6-11,240.0,Bucknell,947276.0,2020-12-30 05:37:09.321663008
Lamar Patterson,Atlanta Hawks,13.0,SG,24.0,6-5,225.0,Pittsburgh,525093.0,2021-01-07 05:24:33.085339168
Dennis Schroder,Atlanta Hawks,17.0,PG,22.0,6-1,172.0,,1763400.0,2021-01-15 05:11:56.849015296
Mike Scott,Atlanta Hawks,32.0,PF,27.0,6-8,237.0,Virginia,3333333.0,2021-01-23 04:59:20.612691456
Thabo Sefolosha,Atlanta Hawks,25.0,SF,32.0,6-7,220.0,,4000000.0,2021-01-31 04:46:44.376367616
Tiago Splitter,Atlanta Hawks,11.0,C,31.0,6-11,245.0,,9756250.0,2021-02-08 04:34:08.140043744
Walter Tavares,Atlanta Hawks,22.0,C,24.0,7-3,260.0,,1000000.0,2021-02-16 04:21:31.903719904
Jeff Teague,Atlanta Hawks,0.0,PG,27.0,6-2,186.0,Wake Forest,8000000.0,2021-02-24 04:08:55.667396032
Nicolas Batum,Charlotte Hornets,5.0,SG,27.0,6-8,200.0,,13125306.0,2021-03-04 03:56:19.431072192
Troy Daniels,Charlotte Hornets,30.0,SG,24.0,6-4,205.0,Virginia Commonwealth,947276.0,2021-03-12 03:43:43.194748352
Jorge Gutierrez,Charlotte Hornets,12.0,PG,27.0,6-3,189.0,California,189455.0,2021-03-20 03:31:06.958424480
Tyler Hansbrough,Charlotte Hornets,50.0,PF,30.0,6-9,250.0,North Carolina,947276.0,2021-03-28 03:18:30.722100640
Aaron Harrison,Charlotte Hornets,9.0,SG,21.0,6-6,210.0,Kentucky,525093.0,2021-04-05 03:05:54.485776800
Spencer Hawes,Charlotte Hornets,0.0,PF,28.0,7-1,245.0,Washington,6110034.0,2021-04-13 02:53:18.249452928
Al Jefferson,Charlotte Hornets,25.0,C,31.0,6-10,289.0,,13500000.0,2021-04-21 02:40:42.013129088
Frank Kaminsky III,Charlotte Hornets,44.0,C,23.0,7-0,240.0,Wisconsin,2612520.0,2021-04-29 02:28:05.776805248
Michael Kidd-Gilchrist,Charlotte Hornets,14.0,SF,22.0,6-7,232.0,Kentucky,6331404.0,2021-05-07 02:15:29.540481376
Jeremy Lamb,Charlotte Hornets,3.0,SG,24.0,6-5,185.0,Connecticut,3034356.0,2021-05-15 02:02:53.304157536
Courtney Lee,Charlotte Hornets,1.0,SG,30.0,6-5,200.0,Western Kentucky,5675000.0,2021-05-23 01:50:17.067833696
Jeremy Lin,Charlotte Hornets,7.0,PG,27.0,6-3,200.0,Harvard,2139000.0,2021-05-31 01:37:40.831509824
Kemba Walker,Charlotte Hornets,15.0,PG,26.0,6-1,184.0,Connecticut,12000000.0,2021-06-08 01:25:04.595185984
Marvin Williams,Charlotte Hornets,2.0,PF,29.0,6-9,237.0,North Carolina,7000000.0,2021-06-16 01:12:28.358862144
Cody Zeller,Charlotte Hornets,40.0,C,23.0,7-0,240.0,Indiana,4204200.0,2021-06-24 00:59:52.122538272
Chris Bosh,Miami Heat,1.0,PF,32.0,6-11,235.0,Georgia Tech,22192730.0,2021-07-02 00:47:15.886214432
Luol Deng,Miami Heat,9.0,SF,31.0,6-9,220.0,Duke,10151612.0,2021-07-10 00:34:39.649890560
Goran Dragic,Miami Heat,7.0,PG,30.0,6-3,190.0,,14783000.0,2021-07-18 00:22:03.413566720
Gerald Green,Miami Heat,14.0,SF,30.0,6-7,205.0,,947276.0,2021-07-26 00:09:27.177242880
Udonis Haslem,Miami Heat,40.0,PF,36.0,6-8,235.0,Florida,2854940.0,2021-08-02 23:56:50.940919008
Joe Johnson,Miami Heat,2.0,SF,34.0,6-7,240.0,Arkansas,261894.0,2021-08-10 23:44:14.704595168
Tyler Johnson,Miami Heat,8.0,SG,24.0,6-4,186.0,Fresno State,845059.0,2021-08-18 23:31:38.468271328
Josh McRoberts,Miami Heat,4.0,PF,29.0,6-10,240.0,Duke,5543725.0,2021-08-26 23:19:02.231947456
Josh Richardson,Miami Heat,0.0,SG,22.0,6-6,200.0,Tennessee,525093.0,2021-09-03 23:06:25.995623616
Amar'e Stoudemire,Miami Heat,5.0,PF,33.0,6-10,245.0,,947276.0,2021-09-11 22:53:49.759299776
Dwyane Wade,Miami Heat,3.0,SG,34.0,6-4,220.0,Marquette,20000000.0,2021-09-19 22:41:13.522975904
Briante Weber,Miami Heat,12.0,PG,23.0,6-2,165.0,Virginia Commonwealth,,2021-09-27 22:28:37.286652064
Hassan Whiteside,Miami Heat,21.0,C,26.0,7-0,265.0,Marshall,981348.0,2021-10-05 22:16:01.050328224
Justise Winslow,Miami Heat,20.0,SF,20.0,6-7,225.0,Duke,2481720.0,2021-10-13 22:03:24.814004352
Dorell Wright,Miami Heat,11.0,SF,30.0,6-9,205.0,,,2021-10-21 21:50:48.577680512
Dewayne Dedmon,Orlando Magic,3.0,C,26.0,7-0,245.0,USC,947276.0,2021-10-29 21:38:12.341356672
Evan Fournier,Orlando Magic,10.0,SG,23.0,6-7,205.0,,2288205.0,2021-11-06 21:25:36.105032800
Aaron Gordon,Orlando Magic,0.0,PF,20.0,6-9,220.0,Arizona,4171680.0,2021-11-14 21:12:59.868708960
Mario Hezonja,Orlando Magic,23.0,SG,21.0,6-8,218.0,,3741480.0,2021-11-22 21:00:23.632385088
Ersan Ilyasova,Orlando Magic,7.0,PF,29.0,6-10,235.0,,7900000.0,2021-11-30 20:47:47.396061248
Brandon Jennings,Orlando Magic,55.0,PG,26.0,6-1,169.0,,8344497.0,2021-12-08 20:35:11.159737408
Devyn Marble,Orlando Magic,11.0,SF,23.0,6-6,200.0,Iowa,845059.0,2021-12-16 20:22:34.923413536
Shabazz Napier,Orlando Magic,13.0,PG,24.0,6-1,175.0,Connecticut,1294440.0,2021-12-24 20:09:58.687089696
Andrew Nicholson,Orlando Magic,44.0,PF,26.0,6-9,250.0,St. Bonaventure,2380593.0,2022-01-01 19:57:22.450765856
Victor Oladipo,Orlando Magic,5.0,SG,24.0,6-4,210.0,Indiana,5192520.0,2022-01-09 19:44:46.214441984
Elfrid Payton,Orlando Magic,4.0,PG,22.0,6-4,185.0,Louisiana-Lafayette,2505720.0,2022-01-17 19:32:09.978118144
Jason Smith,Orlando Magic,14.0,PF,30.0,7-0,240.0,Colorado State,4300000.0,2022-01-25 19:19:33.741794304
Nikola Vucevic,Orlando Magic,9.0,C,25.0,7-0,260.0,USC,11250000.0,2022-02-02 19:06:57.505470432
C.J. Watson,Orlando Magic,32.0,PG,32.0,6-2,175.0,Tennessee,5000000.0,2022-02-10 18:54:21.269146592
Alan Anderson,Washington Wizards,6.0,SG,33.0,6-6,220.0,Michigan State,4000000.0,2022-02-18 18:41:45.032822752
Bradley Beal,Washington Wizards,3.0,SG,22.0,6-5,207.0,Florida,5694674.0,2022-02-26 18:29:08.796498880
Jared Dudley,Washington Wizards,1.0,SF,30.0,6-7,225.0,Boston College,4375000.0,2022-03-06 18:16:32.560175040
Jarell Eddie,Washington Wizards,8.0,SG,24.0,6-7,218.0,Virginia Tech,561716.0,2022-03-14 18:03:56.323851200
Drew Gooden,Washington Wizards,90.0,PF,34.0,6-10,250.0,Kansas,3300000.0,2022-03-22 17:51:20.087527328
Marcin Gortat,Washington Wizards,13.0,C,32.0,6-11,240.0,,11217391.0,2022-03-30 17:38:43.851203488
JJ Hickson,Washington Wizards,21.0,C,27.0,6-9,242.0,North Carolina State,273038.0,2022-04-07 17:26:07.614879648
Nene Hilario,Washington Wizards,42.0,C,33.0,6-11,250.0,,13000000.0,2022-04-15 17:13:31.378555776
Markieff Morris,Washington Wizards,5.0,PF,26.0,6-10,245.0,Kansas,8000000.0,2022-04-23 17:00:55.142231936
Kelly Oubre Jr.,Washington Wizards,12.0,SF,20.0,6-7,205.0,Kansas,1920240.0,2022-05-01 16:48:18.905908064
Otto Porter Jr.,Washington Wizards,22.0,SF,23.0,6-8,198.0,Georgetown,4662960.0,2022-05-09 16:35:42.669584224
Ramon Sessions,Washington Wizards,7.0,PG,30.0,6-3,190.0,Nevada,2170465.0,2022-05-17 16:23:06.433260384
Garrett Temple,Washington Wizards,17.0,SG,30.0,6-6,195.0,LSU,1100602.0,2022-05-25 16:10:30.196936512
Marcus Thornton,Washington Wizards,15.0,SF,29.0,6-4,205.0,LSU,200600.0,2022-06-02 15:57:53.960612672
John Wall,Washington Wizards,2.0,PG,25.0,6-4,195.0,Kentucky,15851950.0,2022-06-10 15:45:17.724288832
Darrell Arthur,Denver Nuggets,0.0,PF,28.0,6-9,235.0,Kansas,2814000.0,2022-06-18 15:32:41.487964960
D.J. Augustin,Denver Nuggets,12.0,PG,28.0,6-0,183.0,Texas,3000000.0,2022-06-26 15:20:05.251641120
Will Barton,Denver Nuggets,5.0,SF,25.0,6-6,175.0,Memphis,3533333.0,2022-07-04 15:07:29.015317280
Wilson Chandler,Denver Nuggets,21.0,SF,29.0,6-8,225.0,DePaul,10449438.0,2022-07-12 14:54:52.778993408
Kenneth Faried,Denver Nuggets,35.0,PF,26.0,6-8,228.0,Morehead State,11235955.0,2022-07-20 14:42:16.542669568
Danilo Gallinari,Denver Nuggets,8.0,SF,27.0,6-10,225.0,,14000000.0,2022-07-28 14:29:40.306345728
Gary Harris,Denver Nuggets,14.0,SG,21.0,6-4,210.0,Michigan State,1584480.0,2022-08-05 14:17:04.070021856
Nikola Jokic,Denver Nuggets,15.0,C,21.0,6-10,250.0,,1300000.0,2022-08-13 14:04:27.833698016
Joffrey Lauvergne,Denver Nuggets,77.0,C,24.0,6-11,220.0,,1709719.0,2022-08-21 13:51:51.597374176
Mike Miller,Denver Nuggets,3.0,SG,36.0,6-8,218.0,Florida,947276.0,2022-08-29 13:39:15.361050304
Emmanuel Mudiay,Denver Nuggets,0.0,PG,20.0,6-5,200.0,,3102240.0,2022-09-06 13:26:39.124726464
Jameer Nelson,Denver Nuggets,1.0,PG,34.0,6-0,190.0,Saint Joseph's,4345000.0,2022-09-14 13:14:02.888402592
Jusuf Nurkic,Denver Nuggets,23.0,C,21.0,7-0,280.0,,1842000.0,2022-09-22 13:01:26.652078752
JaKarr Sampson,Denver Nuggets,9.0,SG,23.0,6-9,214.0,St. John's,258489.0,2022-09-30 12:48:50.415754912
Axel Toupane,Denver Nuggets,6.0,SG,23.0,6-7,210.0,,,2022-10-08 12:36:14.179431040
Nemanja Bjelica,Minnesota Timberwolves,88.0,PF,28.0,6-10,240.0,,3950001.0,2022-10-16 12:23:37.943107200
Gorgui Dieng,Minnesota Timberwolves,5.0,C,26.0,6-11,241.0,Louisville,1474440.0,2022-10-24 12:11:01.706783360
Kevin Garnett,Minnesota Timberwolves,21.0,PF,40.0,6-11,240.0,,8500000.0,2022-11-01 11:58:25.470459488
Tyus Jones,Minnesota Timberwolves,1.0,PG,20.0,6-2,195.0,Duke,1282080.0,2022-11-09 11:45:49.234135648
Zach LaVine,Minnesota Timberwolves,8.0,PG,21.0,6-5,189.0,UCLA,2148360.0,2022-11-17 11:33:12.997811808
Shabazz Muhammad,Minnesota Timberwolves,15.0,SF,23.0,6-6,223.0,UCLA,2056920.0,2022-11-25 11:20:36.761487936
Adreian Payne,Minnesota Timberwolves,33.0,PF,25.0,6-10,237.0,Michigan State,1938840.0,2022-12-03 11:08:00.525164096
Nikola Pekovic,Minnesota Timberwolves,14.0,C,30.0,6-11,307.0,,12100000.0,2022-12-11 10:55:24.288840256
Tayshaun Prince,Minnesota Timberwolves,12.0,SF,36.0,6-9,212.0,Kentucky,947276.0,2022-12-19 10:42:48.052516384
Ricky Rubio,Minnesota Timberwolves,9.0,PG,25.0,6-4,194.0,,12700000.0,2022-12-27 10:30:11.816192544
Damjan Rudez,Minnesota Timberwolves,10.0,SF,29.0,6-9,230.0,,1149500.0,2023-01-04 10:17:35.579868704
Greg Smith,Minnesota Timberwolves,4.0,PF,25.0,6-10,250.0,Fresno State,,2023-01-12 10:04:59.343544832
Karl-Anthony Towns,Minnesota Timberwolves,32.0,C,20.0,7-0,244.0,Kentucky,5703600.0,2023-01-20 09:52:23.107220992
Andrew Wiggins,Minnesota Timberwolves,22.0,SG,21.0,6-8,199.0,Kansas,5758680.0,2023-01-28 09:39:46.870897152
Steven Adams,Oklahoma City Thunder,12.0,C,22.0,7-0,255.0,Pittsburgh,2279040.0,2023-02-05 09:27:10.634573280
Nick Collison,Oklahoma City Thunder,4.0,PF,35.0,6-10,255.0,Kansas,3750000.0,2023-02-13 09:14:34.398249440
Kevin Durant,Oklahoma City Thunder,35.0,SF,27.0,6-9,240.0,Texas,20158622.0,2023-02-21 09:01:58.161925568
Randy Foye,Oklahoma City Thunder,6.0,SG,32.0,6-4,213.0,Villanova,3135000.0,2023-03-01 08:49:21.925601728
Josh Huestis,Oklahoma City Thunder,34.0,SF,24.0,6-7,230.0,Stanford,1140240.0,2023-03-09 08:36:45.689277888
Serge Ibaka,Oklahoma City Thunder,9.0,PF,26.0,6-10,245.0,,12250000.0,2023-03-17 08:24:09.452954016
Enes Kanter,Oklahoma City Thunder,11.0,C,24.0,6-11,245.0,Kentucky,16407500.0,2023-03-25 08:11:33.216630208
Mitch McGary,Oklahoma City Thunder,33.0,PF,24.0,6-10,255.0,Michigan,1463040.0,2023-04-02 07:58:56.980306304
Nazr Mohammed,Oklahoma City Thunder,13.0,C,38.0,6-10,250.0,Kentucky,222888.0,2023-04-10 07:46:20.743982464
Anthony Morrow,Oklahoma City Thunder,2.0,SG,30.0,6-5,210.0,Georgia Tech,3344000.0,2023-04-18 07:33:44.507658624
Cameron Payne,Oklahoma City Thunder,22.0,PG,21.0,6-3,185.0,Murray State,2021520.0,2023-04-26 07:21:08.271334784
Andre Roberson,Oklahoma City Thunder,21.0,SG,24.0,6-7,210.0,Colorado,1210800.0,2023-05-04 07:08:32.035010944
Kyle Singler,Oklahoma City Thunder,5.0,SF,28.0,6-8,228.0,Duke,4500000.0,2023-05-12 06:55:55.798687040
Dion Waiters,Oklahoma City Thunder,3.0,SG,24.0,6-4,220.0,Syracuse,5138430.0,2023-05-20 06:43:19.562363200
Russell Westbrook,Oklahoma City Thunder,0.0,PG,27.0,6-3,200.0,UCLA,16744218.0,2023-05-28 06:30:43.326039360
Cliff Alexander,Portland Trail Blazers,34.0,PF,20.0,6-8,240.0,Kansas,525093.0,2023-06-05 06:18:07.089715520
Al-Farouq Aminu,Portland Trail Blazers,8.0,SF,25.0,6-9,215.0,Wake Forest,8042895.0,2023-06-13 06:05:30.853391680
Pat Connaughton,Portland Trail Blazers,5.0,SG,23.0,6-5,206.0,Notre Dame,625093.0,2023-06-21 05:52:54.617067840
Allen Crabbe,Portland Trail Blazers,23.0,SG,24.0,6-6,210.0,California,947276.0,2023-06-29 05:40:18.380743936
Ed Davis,Portland Trail Blazers,17.0,C,27.0,6-10,240.0,North Carolina,6980802.0,2023-07-07 05:27:42.144420096
